地点,芮氏规模(级),深度(公里),时间,图片
桃園市政府西南西方  17.2  公里 (位於桃園市楊梅區),3.1,5.0,2023-01-15 15:48:44,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023011515484431_H.png
基隆市政府東方  85.9  公里 (位於臺灣東北部海域),5.2,171.5,2023-01-15 03:40:27,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023011503402752_H.png
花蓮縣政府南南東方  20.0  公里 (位於臺灣東部海域),3.8,21.1,2023-01-14 14:02:30,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023011414023038_H.png
花蓮縣政府北北東方  37.5  公里 (位於花蓮縣秀林鄉),3.0,8.9,2023-01-14 00:41:24,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023011400412430_H.png
花蓮縣政府東方  70.2  公里 (位於臺灣東部海域),4.9,18.2,2023-01-13 23:02:37,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023011323023749_H.png
宜蘭縣政府南南東方  39.1  公里 (位於宜蘭縣近海),3.5,9.1,2023-01-13 06:59:36,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023011306593635_H.png
臺東縣政府南方  77.1  公里 (位於臺灣東南部海域),4.3,25.1,2023-01-12 13:15:35,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023011213153543_H.png
高雄市政府東北方  72.4  公里 (位於高雄市桃源區),3.5,7.2,2023-01-11 22:50:53,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023011122505335_H.png
臺東縣政府北北東方  45.6  公里 (位於臺東縣成功鎮),4.0,34.0,2023-01-11 03:22:12,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023011103221240_H.png
花蓮縣政府北北東方  27.0  公里 (位於花蓮縣近海),3.3,13.0,2023-01-10 22:53:48,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023011022534833_H.png
臺南市政府東北東方  39.0  公里 (位於臺南市南化區),4.0,11.8,2023-01-09 01:13:16,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023010901131640_H.png
花蓮縣政府北北東方  26.3  公里 (位於花蓮縣近海),3.1,13.4,2023-01-08 22:34:04,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023010822340431_H.png
宜蘭縣政府東北東方  34.4  公里 (位於臺灣東部海域),4.1,10.8,2023-01-06 02:02:51,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023010602025141_H.png
宜蘭縣政府東北東方  34.1  公里 (位於臺灣東部海域),4.3,9.0,2023-01-06 01:11:36,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023010601113643_H.png
臺東縣政府東北方  68.1  公里 (位於臺灣東部海域),4.4,38.7,2023-01-05 12:59:28,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023010512592844_H.png
桃園市政府西南西方  17.1  公里 (位於桃園市楊梅區),3.2,5.0,2023-01-05 08:15:41,https://scweb.cwb.gov.tw/webdata/OLDEQ/202301/2023010508154132_H.png
